name,description,price,category_name,sku,color,size,stock,image_file_1,image_file_2
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BROWN-40","Brown","40","10","arctic-boots-brown-front.jpg","arctic-boots-brown-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BROWN-41","Brown","41","13","arctic-boots-brown-front.jpg","arctic-boots-brown-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BROWN-42","Brown","42","9","arctic-boots-brown-front.jpg","arctic-boots-brown-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BROWN-43","Brown","43","5","arctic-boots-brown-front.jpg","arctic-boots-brown-back.jpg"
"Nordic Scarf","Soft merino wool scarf with traditional Nordic patterns. Unisex design perfect for any outfit.","39.99","Accessories","NS-RED-OS","Red","One Size","50","nordic-scarf-red-front.jpg","nordic-scarf-red-back.jpg"
"Nordic Scarf","Soft merino wool scarf with traditional Nordic patterns. Unisex design perfect for any outfit.","39.99","Accessories","NS-BLUE-OS","Blue","One Size","45","nordic-scarf-blue-front.jpg","nordic-scarf-blue-back.jpg"
"Nordic Scarf","Soft merino wool scarf with traditional Nordic patterns. Unisex design perfect for any outfit.","39.99","Accessories","NS-GRAY-OS","Gray","One Size","40","nordic-scarf-gray-front.jpg","nordic-scarf-gray-back.jpg"
"Nordic Scarf","Soft merino wool scarf with traditional Nordic patterns. Unisex design perfect for any outfit.","39.99","Accessories","NS-WHITE-OS","White","One Size","35","nordic-scarf-white-front.jpg","nordic-scarf-white-back.jpg"
"Winter Gloves","Thermal winter gloves with touchscreen compatibility. Windproof and water-resistant with fleece lining.","29.99","Accessories","WG-BLACK-S","Black","S","30","winter-gloves-black-front.jpg","winter-gloves-black-back.jpg"
"Winter Gloves","Thermal winter gloves with touchscreen compatibility. Windproof and water-resistant with fleece lining.","29.99","Accessories","WG-BLACK-M","Black","M","40","winter-gloves-black-front.jpg","winter-gloves-black-back.jpg"
"Winter Gloves","Thermal winter gloves with touchscreen compatibility. Windproof and water-resistant with fleece lining.","29.99","Accessories","WG-BLACK-L","Black","L","25","winter-gloves-black-front.jpg","winter-gloves-black-back.jpg"
"Winter Gloves","Thermal winter gloves with touchscreen compatibility. Windproof and water-resistant with fleece lining.","29.99","Accessories","WG-BROWN-S","Brown","S","25","winter-gloves-brown-front.jpg","winter-gloves-brown-back.jpg"
"Winter Gloves","Thermal winter gloves with touchscreen compatibility. Windproof and water-resistant with fleece lining.","29.99","Accessories","WG-BROWN-M","Brown","M","35","winter-gloves-brown-front.jpg","winter-gloves-brown-back.jpg"
"Winter Gloves","Thermal winter gloves with touchscreen compatibility. Windproof and water-resistant with fleece lining.","29.99","Accessories","WG-BROWN-L","Brown","L","20","winter-gloves-brown-front.jpg","winter-gloves-brown-back.jpg"
"Winter Gloves","Thermal winter gloves with touchscreen compatibility. Windproof and water-resistant with fleece lining.","29.99","Accessories","WG-GRAY-S","Gray","S","28","winter-gloves-gray-front.jpg","winter-gloves-gray-back.jpg"
"Winter Gloves","Thermal winter gloves with touchscreen compatibility. Windproof and water-resistant with fleece lining.","29.99","Accessories","WG-GRAY-M","Gray","M","38","winter-gloves-gray-front.jpg","winter-gloves-gray-back.jpg"
"Winter Gloves","Thermal winter gloves with touchscreen compatibility. Windproof and water-resistant with fleece lining.","29.99","Accessories","WG-GRAY-L","Gray","L","22","winter-gloves-gray-front.jpg","winter-gloves-gray-back.jpg"
